,内科系,一般内科,呼吸器内科,気管食道内科,耳鼻咽喉・頭頸部内科,消化器内科,循環器内科,腎臓・内分泌内科,糖尿病・代謝内科,血液・腫瘍内科,脳神経内科,脳血管内科,心臓・血管内科,アレルギー科,リウマチ科,感染症内科,泌尿器内科,老年科,心療内科,肝・胆・膵内科,大腸・肛門内科,外科系,一般外科,呼吸器外科,気管食道外科,消化器外科,循環器外科,大腸・肛門外科,肝・胆・膵外科,血液・腫瘍外科,心臓・血管外科,人工臓器・移植外科,脳神経外科,腎臓・内分泌外科,泌尿器外科,整形外科,形成外科・美容外科,麻酔科,皮膚科,眼科,耳鼻咽喉・頭頸部外科,リハビリテーション科,歯科・口腔顎顔面外科,小児歯科,小児科,小児外科,産婦人科,精神科,放射線科,救急・集中治療科,臨床検査科,病理診断科,緩和ケア科,鍼灸院,分類不可
0,内科,内科,呼吸器内科,呼吸気内科,耳鼻いんこう科,消化器内科,循環器内科,腎臓内科,糖尿病内科,血液内科,神経内科,脳・血管内科,心臓血管内科,アレルギー科,リウマチ科,小児科（感染症・アレルギー疾患）,泌尿器科,老年内科,心療内科,肝臓内科,こう門科,外科,外科,呼吸器外科,気管食道科,消化器外科,循環器科,こう門科,肝臓外科,腫瘍外科,心臓血管外科,腎臓移植外科,脳神経外科,乳腺外科,泌尿器科,整形外科,形成外科,麻酔科,皮膚科,眼科,耳鼻いんこう科,リハビリテーション科,歯科,小児歯科,小児科,小児外科,産婦人科,精神科,放射線科,救急科,化学療法内科,病理診断科,緩和ケア科,指圧,不明
1,神経内科,総合内科,呼吸器科,気管食道科,耳鼻咽喉科,消化器科,循環器科,内分泌内科,代謝内科,腫瘍内科,神経科,脳血管内科,心臓内科,小児科（感染症・アレルギー疾患）,リウマチ内科,感染症内科,女性泌尿器科,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,老年心療内科,消化器・肝臓内科,肛門内科,整形外科,一般外科,呼吸器科,気管食道外科,消化器科,循環器外科,肛門外科,内視鏡外科（胆のう・胃腸科・大腸）,腫瘍整形外科,血管外科,移植外科,神経科,甲状腺外科,女性泌尿器科,ペインクリニック内科,小児形成外科,ペインクリニック内科,小児皮膚科,小児眼科,頭頚部外科,呼吸器リハビリテーション科,矯正歯科,小歯歯科,児童精神科,小児心臓血管外科,産科,児童精神科,放射線診断科,小児救急科,臨床検査科,理学診療科,緩和ケア内科,はり,診療内
2,呼吸器内科,人間ドック,呼吸気内科,気管食道耳鼻いんこう科,気管食道耳鼻いんこう科,胃腸科,小児循環器内科,人工透析内科,糖尿病内分泌内科,血液・腫瘍内科,脳神経内科,脳血管内治療科,心血管内科,内科（呼吸器・循環器・糖尿病・アレルギー疾患）,アレルギー疾患・リウマチ科,性病科,泌尿器科（人工透析）,外科（消化器・末梢血管・肛門・内分泌・老人）,内科（呼吸器・消化器・心療）,消化器内科（肝胆膵）,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,脳神経外科,総合診療科,呼吸器・乳腺外科,気管食道耳鼻いんこう科,胃腸科,循環器外科（心臓・血管外科）,大腸外科,肝臓外来,がん化学療法外科,小児心臓血管外科,腎臓泌尿器科（腎臓臓器移植）,老年脳神経外科,内分泌外科,泌尿器科（人工透析）,ペインクリニック外科,美容外科,ペインクリニック外科,皮膚泌尿器科,眼科（コンタクト）,頭頸部外科,心臓リハビリテーション科,歯科口腔外科,歯科、小児歯科,小児皮膚科,小児脳神経外科,婦人科,老年精神科,放射線治療科,,がん化学療法外科,病理診療科,疼痛緩和内科,,医科
3,循環器内科,一般内科,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,気管食道内科,耳鼻科,胃腸内科（内視鏡）,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,糖尿病内分泌内科,糖尿病・内分泌内科,血液腫瘍内科,小児神経内科,脳卒中内科,心臓・循環器内科,漢方アレルギー疾患皮膚科,アレルギー膠原病科,性感染症内科,肛門科,高齢者内科,小児心療内科,肝臓・消化器内科,肛門科,呼吸器外科,基本診療科,呼外大腸外科,食道外科,内視鏡外科（大腸・胃）,循環器,こう門外科,胆のう外科,がん,外科（消化器・末梢血管・肛門・内分泌・老人）,腎臓外科（臓器移植）,小児脳神経外科,人工透析外科,肛門科,腫瘍整形外科,美容皮膚科,ペインクリニック科,美容皮膚科,神経眼科,耳鼻咽喉科,リハビリテーション科（小児）,小児歯科,矯正歯科･小児歯科,小児神経科,小児形成外科,婦人科（生殖医療）,神経精神科,腫瘍放射線科,,病理診断・臨床検査科,理学療法科,緩和医療科,,
4,消化器内科,総合診療科,内科（呼吸器・消化器・心療）,気道食道科,耳鼻咽喉科（補聴器相談室）,胃腸内科,内科（循環器）,糖尿病・内分泌内科,糖尿病・代謝内科,小児血液腫瘍内科,脳神経科,内科（脳卒中）,内科（心臓）,アレルギー疾患内科,リュウマチ科,泌尿器科（腎臓・透析・性感染症）,ひ尿器科,老人内科,心療内科・精神科,膵臓・消化器内科,大腸内視鏡科,心臓血管外科,検診科,呼吸器・血管外科,気道食道科,胃・大腸・肛門外科,循環器外科・心臓血管外科,内視鏡外科（大腸・胃）,膵臓外科,腫瘍外科（緩和ケア）,心臓外科,泌尿器科（人工透析・腎移植）,脳神経科,腎臓移植外科,ひ尿器科,リハビリテーション科（整形）,形成皮膚科,ペインクリニック整形外科,漢方アレルギー疾患皮膚科,漢方眼科,気管食道耳鼻いんこう科,リハビリテーション科（整形）,小児矯正歯科,,小児科（感染症・アレルギー疾患）,小児科外科,産婦人科（産科）,小児精神科,神経放射線科,,外科（化学療法）,病理診断・臨床検査科,緩和ケア,,他
5,心療内科,漢方外来,内科（循環器・消化器・呼吸器）,食道科,耳鼻いんこう科（耳鼻科）,内科（消化器）,内科（循環器・消化器・呼吸器）,乳腺・内分泌内科,糖尿病代謝内科,がん内科,老年脳神経内科,,心臓・血管内科,小児アレルギー科,リハビリテーション科リウマチ科,感染症呼吸器内科,神経泌尿器科,内科（高齢者）,小児神経心療内科,肝臓・胆のう・膵臓内科,大腸内視鏡,小児外科,診療科,循呼,食道科,外科（消化器）,循環器外科（心臓血管外科）,胃・大腸・肛門外科,胆のう,脳腫瘍外科,心臓・血管外科,腎臓内科（人工透析・腎移植）,脳外科,外科（消化器・末梢血管・肛門・内分泌・老人）,神経泌尿器科,ペインクリニック科,美容内科,ペインクリニック・肛門外科,形成皮膚科,眼科（コンタクト専門）,耳鼻科,心臓血管リハビリテーション科,口腔外科,,小児科（新生児）,小児・心臓血管外科,産婦人科（婦人科）,精神神経科,放射線治療,,内科（化学療法）,理学療法,緩和ケア外科,,腹外
6,血液内科,基本診療科,内科（消化器・呼吸器・循環器）,気管内科,漢方耳鼻咽喉科,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,内科（消化器・呼吸器・循環器）,腎臓内科（人工透析）,糖尿病・脂質代謝内科,内科（血液・漢方）,神経泌尿器科,,血管内科,アレルギー内科,小児リウマチ科,女性性感染症内科,漢方泌尿器科,高齢者心療内科,内科（消化器・呼吸器・心療内科）,胆のう,大腸内視鏡内科,消化器外科,健診等,呼吸器・心臓血管外科,胃食道外科,胃腸外科,循呼,大腸・肛門外科,肝臓・胆嚢・脾臓外科,骨軟部腫瘍外科,循環器外科（心臓・血管外科）,,神経泌尿器科,外科（人工透析）,漢方泌尿器科,ペインクリニック整形外科,美容皮ふ科,麻酔科（出張麻酔）,皮膚ひ尿器科,眼科（コンタクトのみ）,耳鼻咽喉科（補聴器相談室）,リハビリテーション科リウマチ科,一般歯科,,小児精神科,小児整形外科,不妊治療,児童思春期精神科,がん・乳腺放射線診療科,,腫瘍内科（化学療法）,理学診断,腫瘍外科（緩和ケア）,,外８
7,腫瘍内科,漢方専門,内科（呼吸器・循環器・糖尿病・アレルギー疾患）,食道・胃腸内科,気管食道・耳鼻咽喉科,内科（呼吸器・消化器・心療）,内科（呼吸器・循環器・糖尿病・アレルギー疾患）,小児内分泌内科,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,消化器・血液内科,神経科（神経内科）,,循環器・心臓内科,アレルギー疾患・リウマチ科,リウ血液内科,性感染症泌尿器科,老年泌尿器科,老年診療科,ペインクリニック・心療内科,膵臓内科,胃・大腸・消化器内科,乳腺外科,健診,呼吸器外科（内視鏡）,食道胃腸外科,外科（消化器・末梢血管・肛門・内分泌・老人）,循環科,外科（消化器・末梢血管・肛門・内分泌・老人）,肝臓・胆のう・膵臓外科,皮膚腫瘍外科,小児・心臓血管外科,,脳神経外科（脳外科）,大腸肛門乳腺外科,老年泌尿器科,レントゲン科,形成美容外科,麻酔科（ペインクリニック）,頭部皮膚科,眼科・麻酔科,耳鼻いんこう科（耳鼻科）,リハビリ科,予防歯科,,小児神経内科,小児歯科口腔外科,産婦人科（生殖医療・不妊治療）,心療内科・精神科,乳腺放射線診断科,,化学療法外科,乳腺病理診断科,腫瘍内科(疼痛緩和),,理
8,腎臓内科,漢方科,循環器・呼吸器内科,食道・胃腸・大腸内科（内視鏡）,気管食道耳鼻咽喉科,消化器内科（内視鏡）,内科（循環器・糖尿病・内分泌・脂質代謝）,内科（消化器・循環器・呼吸器・内分泌・代謝・糖尿病・胃腸・大腸内視鏡・老人・人工透析・漢方）,糖尿病内分泌科,血液透析内科,神経・内科,,内科（血管）,呼吸器・アレルギー内科,リウマチ・膠原病アレルギー外来,感染症・呼吸器内科,泌尿器科（人口透析）,呼内老年内科,女性心療内科,肝臓胆のう膵臓内科,食道・胃腸・大腸内科（内視鏡）,甲状腺外科,女性診療外来,外科（呼吸器）,気管食道・耳鼻咽喉科,内視鏡外科（胆のう・胃腸科・大腸）,循環器外科(心臓･血管外科）,内視鏡外科（胆のう・胃腸科・大腸）,肝・胆・膵外科,血液外科,血液外科,,神経痛,腎臓科,泌尿器科（人口透析）,ペインクリニック・肛門外科,美容皮膚科（漢方）,ペインクリニック・整形外科,皮フ科,リウマチ眼科,耳鼻咽喉・頭頸部外科,心臓リハビリ科,スポーツ歯科,,新生児内科,小児心臓外科,産婦人科（生殖医療）,内科・精神科,放射線診断,,女性臨床検査科,リハ理学診療科,疼痛緩和外科,,その他
